BANKCODE,BANKNAME,BANKTYPE,ORDERNUMBER
01020000,中国工商银行,2,20
01050000,中国建设银行,2,20
01030000,中国农业银行,2,20
03080000,招商银行,3,30
01040000,中国银行,2,20
03010000,交通银行,2,20
01000000,邮政储蓄银行,1,10
03050000,民生银行,3,30
03100000,浦东发展银行,3,30
03090000,兴业银行,3,30
03020000,中信银行,3,30
04031000,北京银行,4,40
03040000,华夏银行,3,30
03060000,广发银行,3,30
04100000,平安银行,3,30
04010000,上海银行,4,40
03030000,光大银行,3,30
